TABLE NO.     4: MCMC Bayesian Analysis: Goal Function=AVERAGE VALUE OF LIKELIHOOD FUNCTION: Problem=1 Subproblem=0 Superproblem1=0 Iteration1=0 Superproblem2=0 Iteration2=0
 ITERATION    THETA1       THETA2       THETA3       THETA4       SIGMA(1,1)   OMEGA(1,1)   OMEGA(2,1)   OMEGA(2,2)   OMEGA(3,1)   OMEGA(3,2)   OMEGA(3,3)   OMEGA(4,1)   OMEGA(4,2)   OMEGA(4,3)   OMEGA(4,4)   MCMCOBJ
       -10000  1.65474E+00  1.54813E+00  7.96726E-01  2.37459E+00  5.84657E-02  1.71814E-01  8.66183E-03  1.31536E-01  5.52239E-03  1.49124E-02  1.87615E-01 -1.70390E-02  2.51645E-02  3.49237E-02  1.50963E-01   -2434.27915397684
        -9999  1.61648E+00  1.52243E+00  7.99977E-01  2.37371E+00  4.19449E-02  1.44257E-01 -1.05329E-02  1.29686E-01 -2.08537E-02  1.15394E-02  1.10649E-01 -4.93786E-02  2.87015E-02  2.93024E-03  1.16282E-01   -2444.76368487193
        -9998  1.54337E+00  1.56790E+00  8.50763E-01  2.39077E+00  4.60022E-02  2.12241E-01 -5.06660E-03  8.87052E-02 -1.57914E-02  2.96495E-02  1.04900E-01 -4.59702E-02  9.17872E-03 -2.02306E-02  1.26059E-01   -2402.55114787636
        -9997  1.67369E+00  1.54321E+00  8.40327E-01  2.33245E+00  4.74576E-02  1.93890E-01  1.69955E-02  9.46023E-02 -3.06406E-03  1.81150E-02  1.17746E-01 -5.03557E-02 -1.27084E-02 -1.31420E-02  1.16766E-01   -2380.82854884556
        -9996  1.65317E+00  1.57727E+00  8.59601E-01  2.34823E+00  4.19468E-02  1.99276E-01  2.58687E-03  1.12584E-01 -9.39103E-04 -1.44956E-02  1.57041E-01 -1.85934E-02 -1.94262E-03 -9.73470E-03  9.81731E-02   -2403.13458287911
        -9995  1.62306E+00  1.57973E+00  7.63790E-01  2.35580E+00  5.11383E-02  1.63328E-01 -9.20103E-03  9.88838E-02  3.10604E-02 -2.07155E-03  1.75620E-01 -3.64095E-02  1.56051E-03 -3.93865E-02  1.12640E-01   -2363.55007149051
        -9994  1.60395E+00  1.57013E+00  6.89843E-01  2.41205E+00  4.89925E-02  1.74001E-01 -2.43251E-02  1.44537E-01  2.91945E-03  4.29342E-03  1.11128E-01 -3.33466E-02  7.26555E-03 -1.78291E-02  1.00246E-01   -2349.07960005087
        -9993  1.67669E+00  1.54367E+00  7.45890E-01  2.44038E+00  4.57032E-02  2.00896E-01  4.16037E-02  1.20947E-01 -5.38413E-03  1.08111E-02  1.45323E-01 -4.93162E-02 -6.67005E-03 -2.32987E-02  1.16489E-01   -2335.07268462917
        -9992  1.61789E+00  1.58061E+00  7.93034E-01  2.44128E+00  4.80484E-02  1.81482E-01  7.01883E-03  1.32421E-01  2.12104E-02  9.83601E-04  1.13566E-01 -3.22880E-02  2.27297E-02 -2.26478E-02  1.19958E-01   -2351.04506065202
        -9991  1.65279E+00  1.53667E+00  7.44785E-01  2.42379E+00  4.72689E-02  1.67808E-01 -1.43917E-02  1.18576E-01  2.41992E-02 -5.19531E-03  1.36015E-01 -5.76192E-02  7.48391E-03 -3.97414E-02  1.33506E-01   -2358.06391433289
        -9990  1.63813E+00  1.61091E+00  7.36274E-01  2.40415E+00  5.38343E-02  1.77762E-01 -5.55582E-03  1.67540E-01 -2.36495E-02 -2.11431E-02  1.64758E-01 -2.33806E-02  1.67585E-02 -3.19062E-02  1.12178E-01   -2334.16004094634
        -9989  1.66599E+00  1.54565E+00  8.16565E-01  2.33078E+00  5.38800E-02  1.82363E-01 -3.08024E-03  1.21169E-01  7.96148E-03  4.67679E-03  1.52332E-01 -1.93413E-02  1.03426E-02 -2.08669E-02  1.01299E-01   -2319.98023122659
        -9988  1.56883E+00  1.61877E+00  7.09452E-01  2.34918E+00  5.48438E-02  1.82147E-01 -1.90561E-03  1.20241E-01  1.36297E-02  2.77359E-03  1.46993E-01 -3.52772E-02 -2.07780E-02 -2.34951E-02  1.20197E-01   -2273.20844479537
        -9987  1.64905E+00  1.53676E+00  7.48006E-01  2.30594E+00  5.66093E-02  1.88511E-01 -2.15519E-02  1.29136E-01  4.02802E-03  6.83520E-03  1.11841E-01 -2.68394E-02  1.25612E-03 -1.24063E-02  7.54439E-02   -2274.32117045523
        -9986  1.58869E+00  1.53303E+00  8.08173E-01  2.29580E+00  6.09413E-02  1.56045E-01 -1.33779E-02  1.30259E-01 -1.28913E-02  1.29221E-02  1.18677E-01 -1.15052E-02  3.54848E-03 -1.59029E-02  9.31109E-02   -2211.93131643068
        -9985  1.67211E+00  1.56381E+00  7.46584E-01  2.36177E+00  6.94707E-02  1.78928E-01 -9.66773E-03  1.47299E-01 -6.61367E-03  3.79068E-02  1.44886E-01 -2.71665E-02  1.69505E-02  5.37512E-04  1.13893E-01   -2224.24313389114
        -9984  1.70491E+00  1.56386E+00  7.90650E-01  2.34300E+00  6.37016E-02  2.00242E-01 -7.93840E-03  1.54497E-01  4.54044E-02  4.73127E-03  1.35841E-01 -2.18657E-02 -1.30189E-03  1.73331E-02  7.74044E-02   -2218.07655158071
        -9983  1.70108E+00  1.49299E+00  7.61515E-01  2.37537E+00  5.68470E-02  2.10613E-01 -1.21275E-02  1.38541E-01  1.41182E-02  2.66145E-02  2.21107E-01 -1.05004E-02 -1.18810E-02  2.77694E-02  1.36211E-01   -2236.61651710328
        -9982  1.62338E+00  1.55602E+00  7.11266E-01  2.33342E+00  5.50674E-02  1.30896E-01  1.19228E-02  1.76950E-01  3.78418E-02  4.54769E-03  1.92095E-01 -2.21061E-02 -1.28967E-02 -4.67119E-03  9.80357E-02   -2266.17579132648
