         REPID         RMNOW          TIME           MT1           MT2           MP1           MP2        TSTATE      INTMTIME
        1.0000        0.0000        0.0000        0.9088       21.7473        0.0000        0.0000        0.0000        0.9088
        1.0000        9.0000        0.0000        0.9088       21.7473        0.0000        0.0000        0.0000        0.9088
        1.0000        1.0000       24.0000        0.9088       21.7473        0.0000        0.0000        0.0000        0.9088
        1.0000        2.0000       24.0000       24.9088       45.7473        1.0000        0.0000        0.9088        0.9088
        1.0000        0.0000       24.0000       24.9088       45.7473        0.0000        0.0000       21.7473       24.9088
        1.0000        9.0000       24.0000       24.9088       45.7473        0.0000        0.0000       24.0000       24.9088
        1.0000        1.0000       48.0000       24.9088       45.7473        0.0000        0.0000       24.0000       24.9088
        1.0000        2.0000       48.0000       48.9088       69.7473        1.0000        0.0000       24.9088       24.9088
        1.0000        0.0000       48.0000       48.9088       69.7473        0.0000        0.0000       45.7473       48.9088
        1.0000        9.0000       48.0000       48.9088       69.7473        0.0000        0.0000       48.0000       48.9088
        1.0000        1.0000       72.0000       48.9088       69.7473        0.0000        0.0000       48.0000       48.9088
        1.0000        2.0000       72.0000       72.9088       93.7473        1.0000        0.0000       48.9088       48.9088
        1.0000        0.0000       72.0000       72.9088       93.7473        0.0000        0.0000       69.7473       72.9088
        1.0000        9.0000       72.0000       72.9088       93.7473        0.0000        0.0000       72.0000       72.9088
        1.0000        1.0000       96.0000       72.9088       93.7473        0.0000        0.0000       72.0000       72.9088
        1.0000        2.0000       96.0000       96.9088      117.7473        1.0000        0.0000       72.9088       72.9088
        1.0000        0.0000       96.0000       96.9088      117.7473        0.0000        0.0000       93.7473       96.9088
        1.0000        9.0000       96.0000       96.9088      117.7473        0.0000        0.0000       96.0000       96.9088
        1.0000        1.0000      120.0000       96.9088      117.7473        0.0000        0.0000       96.0000       96.9088
        1.0000        2.0000      120.0000      120.9088      141.7473        1.0000        0.0000       96.9088       96.9088
        1.0000        0.0000      120.0000      120.9088      141.7473        0.0000        0.0000      117.7473      120.9088
        1.0000        9.0000      120.0000      120.9088      141.7473        0.0000        0.0000      120.0000      120.9088
        1.0000        1.0000      144.0000      120.9088      141.7473        0.0000        0.0000      120.0000      120.9088
        1.0000        2.0000      144.0000      144.9088      165.7473        1.0000        0.0000      120.9088      120.9088
        1.0000        0.0000      144.0000      144.9088      165.7473        0.0000        0.0000      141.7473      144.9088
        1.0000        9.0000      144.0000      144.9088      165.7473        0.0000        0.0000      144.0000      144.9088
        1.0000        1.0000      168.0000      144.9088      165.7473        0.0000        0.0000      144.0000      144.9088
        1.0000        2.0000      168.0000      168.9088      189.7473        1.0000        0.0000      144.9088      144.9088
        1.0000        0.0000      168.0000      168.9088      189.7473        0.0000        0.0000      165.7473      168.9088
        1.0000        9.0000      168.0000      168.9088      189.7473        0.0000        0.0000      168.0000      168.9088
        2.0000        0.0000        0.0000      -11.2396        3.9982        0.0000        0.0000        0.0000      -11.2396
        2.0000        9.0000        0.0000      -11.2396        3.9982        0.0000        0.0000        0.0000      -11.2396
        2.0000        2.0000       24.0000       12.7604       27.9982        1.0000        0.0000        0.0000      -11.2396
        2.0000        1.0000       24.0000       12.7604       27.9982        0.0000        0.0000        3.9982       12.7604
        2.0000        0.0000       24.0000       12.7604       27.9982        1.0000        0.0000       12.7604       12.7604
        2.0000        9.0000       24.0000       12.7604       27.9982        1.0000        0.0000       24.0000       12.7604
        2.0000        2.0000       48.0000       36.7604       51.9982        1.0000        0.0000       24.0000       12.7604
        2.0000        1.0000       48.0000       36.7604       51.9982        0.0000        0.0000       27.9982       36.7604
        2.0000        0.0000       48.0000       36.7604       51.9982        1.0000        0.0000       36.7604       36.7604
        2.0000        9.0000       48.0000       36.7604       51.9982        1.0000        0.0000       48.0000       36.7604
        2.0000        2.0000       72.0000       60.7604       75.9982        1.0000        0.0000       48.0000       36.7604
        2.0000        1.0000       72.0000       60.7604       75.9982        0.0000        0.0000       51.9982       60.7604
        2.0000        0.0000       72.0000       60.7604       75.9982        1.0000        0.0000       60.7604       60.7604
        2.0000        9.0000       72.0000       60.7604       75.9982        1.0000        0.0000       72.0000       60.7604
