TABLE NO.     4: MCMC Bayesian Analysis: Goal Function=AVERAGE VALUE OF LIKELIHOOD FUNCTION: Problem=1 Subproblem=0 Superproblem1=0 Iteration1=0 Superproblem2=0 Iteration2=0
 ITERATION    THETA1       THETA2       THETA3       THETA4       SIGMA(1,1)   OMEGA(1,1)   OMEGA(2,1)   OMEGA(2,2)   OMEGA(3,1)   OMEGA(3,2)   OMEGA(3,3)   OMEGA(4,1)   OMEGA(4,2)   OMEGA(4,3)   OMEGA(4,4)   MCMCOBJ
       -10000  1.63448E+00  1.55376E+00  7.43894E-01  2.34614E+00  5.52780E-02  1.66903E-01 -2.78041E-03  1.41706E-01  1.65795E-02 -5.92142E-03  2.07753E-01 -1.57403E-02  1.31116E-02  3.91091E-02  1.60006E-01   -2347.12439035792
        -9999  1.59268E+00  1.53537E+00  6.97852E-01  2.30902E+00  5.79832E-02  1.63348E-01  1.92612E-03  1.55444E-01  3.14664E-02 -8.46951E-03  2.25841E-01 -1.83104E-02 -2.68233E-02  3.37583E-02  1.41460E-01   -2304.19512495236
        -9998  1.57695E+00  1.54323E+00  7.69311E-01  2.36284E+00  5.98904E-02  1.54432E-01 -9.71145E-03  1.46192E-01  2.03136E-02 -1.30772E-02  1.87206E-01 -4.49562E-02 -1.51482E-02  3.21813E-02  2.10829E-01   -2295.85301925778
        -9997  1.57711E+00  1.59512E+00  6.89660E-01  2.35528E+00  5.69400E-02  1.17468E-01 -1.49339E-02  1.82585E-01 -3.83980E-03 -2.14942E-02  1.86365E-01 -3.10318E-02  1.37443E-02  4.79838E-02  1.68968E-01   -2326.16951468035
        -9996  1.59497E+00  1.53412E+00  7.22089E-01  2.32185E+00  5.97165E-02  1.44272E-01  8.15873E-03  2.20738E-01 -3.80405E-02 -1.22335E-02  1.82049E-01 -3.94668E-02 -1.85254E-03  7.35038E-02  1.86784E-01   -2316.25269174751
        -9995  1.56479E+00  1.54569E+00  7.32201E-01  2.26151E+00  5.14906E-02  2.13615E-01  3.11289E-02  1.59467E-01 -2.52848E-02 -1.57788E-02  1.59516E-01 -4.53031E-02 -4.97827E-03  2.99739E-02  1.80281E-01   -2336.28775012885
        -9994  1.54679E+00  1.63289E+00  7.74523E-01  2.34615E+00  5.01714E-02  2.04951E-01  7.83036E-02  1.73391E-01 -4.91987E-02 -4.41510E-02  1.70222E-01 -3.51413E-02 -1.31128E-02  5.64100E-02  1.41150E-01   -2311.57927488839
        -9993  1.66250E+00  1.53634E+00  7.70160E-01  2.33703E+00  5.63996E-02  1.77467E-01  2.50015E-02  1.46376E-01  7.44683E-03 -2.60421E-03  1.94049E-01  9.64393E-03  1.29165E-02 -2.78350E-03  1.56158E-01   -2325.52236100528
        -9992  1.62816E+00  1.55592E+00  7.08737E-01  2.31401E+00  4.88138E-02  1.91954E-01 -1.05357E-02  1.60928E-01  2.35429E-03 -1.75898E-02  1.46259E-01 -3.56206E-02 -1.19204E-02  1.92757E-02  1.54556E-01   -2359.84791473881
        -9991  1.60314E+00  1.59995E+00  7.01928E-01  2.27002E+00  5.03250E-02  1.76320E-01 -3.87446E-02  1.68156E-01 -8.99449E-03  7.58927E-04  2.00820E-01 -6.22433E-03  4.21975E-02  3.52503E-02  2.10433E-01   -2343.65353495936
        -9990  1.69510E+00  1.58888E+00  7.19399E-01  2.31098E+00  5.09977E-02  1.55114E-01 -5.34100E-03  1.72181E-01  3.34576E-02 -3.12301E-02  2.09154E-01 -3.30050E-02 -7.48668E-03  6.48900E-02  2.15386E-01   -2303.62082489401
        -9989  1.59878E+00  1.60755E+00  7.57032E-01  2.31028E+00  5.23016E-02  1.34178E-01  1.84263E-02  1.95495E-01  2.09610E-02 -1.71380E-02  1.87186E-01 -3.82223E-02  3.59238E-02  5.56603E-03  1.93184E-01   -2325.62971238468
        -9988  1.59199E+00  1.52393E+00  6.36502E-01  2.34777E+00  4.98351E-02  1.66161E-01 -1.70490E-02  1.63683E-01  4.77590E-03 -5.61053E-02  1.43884E-01 -8.66182E-06 -6.20965E-03  2.36467E-02  1.88980E-01   -2310.57413213411
        -9987  1.61673E+00  1.49263E+00  6.69718E-01  2.27830E+00  6.22653E-02  1.91560E-01  7.39947E-03  2.27636E-01 -3.25175E-02 -5.13353E-02  2.02300E-01 -3.93828E-02 -2.31846E-02  2.13255E-02  1.51471E-01   -2270.76348611162
