TABLE NO.     6: MCMC Bayesian Analysis: Goal Function=AVERAGE VALUE OF LIKELIHOOD FUNCTION: Problem=1 Subproblem=0 Superproblem1=0 Iteration1=0 Superproblem2=0 Iteration2=0
 ITERATION    THETA1       THETA2       THETA3       THETA4       THETA5       SIGMA(1,1)   OMEGA(1,1)   OMEGA(2,1)   OMEGA(2,2)   OMEGA(3,1)   OMEGA(3,2)   OMEGA(3,3)   MCMCOBJ
        -3000  3.07135E+00  2.96122E+01  1.14253E+01 -6.47545E-01  8.06964E-02  2.27649E-02  9.28878E-02  3.84716E-03  7.47326E-02  3.79477E-02  2.95065E-02  8.54293E-02    5812.54056061266
        -2999  3.07135E+00  2.96122E+01  1.14253E+01 -6.47545E-01  8.06964E-02  2.26921E-02  9.98081E-02 -1.75366E-03  7.20522E-02  3.98878E-02  2.62465E-02  8.46305E-02    5817.79389082399
        -2998  3.07135E+00  2.96122E+01  1.14253E+01 -5.43248E-01  8.06964E-02  2.26399E-02  1.11488E-01 -9.05485E-03  7.63339E-02  3.35999E-02  2.73952E-02  8.06569E-02    5818.55738031472
        -2997  3.07135E+00  2.96122E+01  1.14253E+01 -5.43248E-01  7.57157E-02  2.32000E-02  1.15870E-01  3.16364E-03  6.94292E-02  4.35870E-02  3.04343E-02  8.29785E-02    5856.29985286344
        -2996  3.11578E+00  2.97618E+01  1.13438E+01 -6.17067E-01  8.26355E-02  2.16885E-02  1.03363E-01  6.89194E-03  7.63505E-02  4.80537E-02  3.08772E-02  9.73407E-02    5816.40762626287
        -2995  3.00798E+00  2.97618E+01  1.13438E+01 -5.62509E-01  7.66246E-02  2.30019E-02  7.90602E-02  8.30970E-03  8.26718E-02  2.87693E-02  2.61811E-02  7.95699E-02    5857.90483512450
        -2994  3.00798E+00  2.97618E+01  1.13438E+01 -6.74654E-01  7.66246E-02  2.29258E-02  9.95732E-02  4.24532E-03  8.38508E-02  3.57709E-02  3.35040E-02  9.18753E-02    5799.22169897231
        -2993  3.07822E+00  2.99673E+01  1.17663E+01 -6.15292E-01  7.23950E-02  2.34888E-02  1.00609E-01  2.81783E-03  7.90448E-02  4.72799E-02  3.72044E-02  1.02309E-01    5812.48867218864
        -2992  3.07822E+00  2.99673E+01  1.17197E+01 -6.06345E-01  7.23950E-02  2.25253E-02  9.49635E-02  1.17343E-02  7.11812E-02  4.15686E-02  2.86343E-02  8.40757E-02    5755.91745501297
        -2991  3.07822E+00  2.99673E+01  1.17197E+01 -6.06345E-01  7.23950E-02  2.26924E-02  9.80756E-02  8.71785E-03  8.21981E-02  4.37272E-02  3.00778E-02  8.38065E-02    5771.98287799860
        -2990  3.03931E+00  2.99673E+01  1.17197E+01 -6.06345E-01  7.42141E-02  2.27462E-02  9.38305E-02  1.34873E-02  7.75732E-02  4.46094E-02  3.23642E-02  9.83788E-02    5726.97116246122
        -2989  2.94957E+00  2.90690E+01  1.11381E+01 -6.05664E-01  8.04433E-02  2.20845E-02  8.30312E-02  1.40039E-02  7.35921E-02  3.08827E-02  3.98866E-02  8.50246E-02    5751.06559663782
        -2988  2.99071E+00  2.93681E+01  1.10706E+01 -7.87700E-01  8.56156E-02  2.27778E-02  9.11667E-02  4.82376E-03  6.91662E-02  3.23294E-02  2.35074E-02  7.59033E-02    5786.24120727315
        -2987  2.99071E+00  2.87554E+01  1.10706E+01 -7.87700E-01  8.56156E-02  2.24840E-02  9.59037E-02  4.34764E-03  6.76185E-02  3.43267E-02  2.35258E-02  7.79400E-02    5763.74927179826
        -2986  3.11328E+00  2.87554E+01  1.13308E+01 -7.87700E-01  8.56156E-02  2.19430E-02  1.11611E-01  5.30892E-03  6.86843E-02  5.38845E-02  3.49168E-02  9.74235E-02    5712.55047533635
        -2985  3.11328E+00  2.87554E+01  1.13308E+01 -8.27356E-01  8.56156E-02  2.23025E-02  1.00409E-01  9.00586E-03  7.71119E-02  5.09043E-02  2.97839E-02  8.68336E-02    5735.58967794031
        -2984  2.98056E+00  2.93378E+01  1.11327E+01 -8.57473E-01  8.61417E-02  2.24303E-02  8.15995E-02  4.68619E-04  6.43489E-02  4.26343E-02  2.76430E-02  9.07255E-02    5796.25378975517
        -2983  2.98056E+00  2.93378E+01  1.14126E+01 -8.22806E-01  9.06949E-02  2.30028E-02  8.03113E-02 -7.52571E-03  6.75168E-02  3.35612E-02  2.31685E-02  8.86772E-02    5792.00277016430
        -2982  2.98056E+00  2.93378E+01  1.12589E+01 -8.22806E-01  9.10387E-02  2.33286E-02  8.52957E-02 -7.51987E-03  7.17991E-02  3.48846E-02  3.13810E-02  9.37880E-02    5833.50588524050
        -2981  2.98056E+00  2.93378E+01  1.12589E+01 -8.17468E-01  9.10387E-02  2.27373E-02  8.79592E-02  6.57554E-03  8.12888E-02  3.48136E-02  3.42680E-02  9.48841E-02    5761.21098955385
        -2980  2.98056E+00  2.92701E+01  1.11869E+01 -8.17468E-01  8.25807E-02  2.25138E-02  8.62811E-02  6.04474E-03  7.65745E-02  3.86174E-02  3.36978E-02  8.97728E-02    5773.11683525076
