TABLE NO.     6: MCMC Bayesian Analysis: Goal Function=AVERAGE VALUE OF LIKELIHOOD FUNCTION: Problem=1 Subproblem=0 Superproblem1=0 Iteration1=0 Superproblem2=0 Iteration2=0
 ITERATION    THETA1       THETA2       THETA3       THETA4       THETA5       SIGMA(1,1)   OMEGA(1,1)   OMEGA(2,1)   OMEGA(2,2)   OMEGA(3,1)   OMEGA(3,2)   OMEGA(3,3)   MCMCOBJ
        -3000  1.12252E+00  3.38824E+00  2.43586E+00 -6.47529E-01  8.07032E-02  2.27647E-02  9.31015E-02  3.84318E-03  7.47441E-02  3.79096E-02  2.95253E-02  8.54495E-02    5815.69623542980
        -2999  1.13549E+00  3.36655E+00  2.43423E+00 -6.31826E-01  7.95584E-02  2.32163E-02  9.89465E-02 -2.45708E-03  7.18737E-02  3.98818E-02  2.59656E-02  8.43056E-02    5742.18799467959
        -2998  1.17051E+00  3.36543E+00  2.46261E+00 -5.29903E-01  8.04604E-02  2.18562E-02  1.33901E-01 -8.81906E-05  6.73302E-02  5.94230E-02  2.38140E-02  8.37507E-02    5797.54125162018
        -2997  1.10733E+00  3.38013E+00  2.42497E+00 -4.01176E-01  6.84617E-02  2.14914E-02  1.18015E-01  7.66996E-03  7.63398E-02  5.15292E-02  3.21671E-02  9.81834E-02    5764.77687253853
        -2996  1.12663E+00  3.41734E+00  2.45536E+00 -4.96256E-01  6.91134E-02  2.24534E-02  1.08304E-01 -9.23675E-04  8.55093E-02  4.17013E-02  2.85839E-02  8.96182E-02    5775.83167673783
        -2995  1.10363E+00  3.38585E+00  2.41678E+00 -4.24770E-01  7.17122E-02  2.20131E-02  1.18648E-01  2.64546E-03  6.95957E-02  3.36135E-02  2.94287E-02  8.04099E-02    5820.74444096706
        -2994  1.12727E+00  3.39871E+00  2.47480E+00 -4.76448E-01  7.65997E-02  2.24404E-02  1.19367E-01  2.46813E-03  6.26713E-02  5.06502E-02  2.46905E-02  8.81270E-02    5760.77950072152
        -2993  1.12151E+00  3.36994E+00  2.42282E+00 -4.93981E-01  7.13901E-02  2.23074E-02  9.53584E-02  8.88631E-03  7.60133E-02  4.21349E-02  3.35213E-02  8.16464E-02    5833.91929238072
        -2992  1.12306E+00  3.39307E+00  2.41139E+00 -5.83143E-01  7.35684E-02  2.27904E-02  1.17669E-01 -3.89282E-03  7.82023E-02  4.96149E-02  2.93335E-02  8.34567E-02    5777.46886814689
        -2991  1.09794E+00  3.39288E+00  2.45485E+00 -5.83143E-01  7.35684E-02  2.34942E-02  1.05701E-01  5.20557E-03  1.02529E-01  5.06573E-02  4.15016E-02  8.81436E-02    5841.76810274715
        -2990  1.12237E+00  3.38894E+00  2.43834E+00 -5.73205E-01  7.41729E-02  2.27253E-02  9.05259E-02  5.13315E-03  7.82100E-02  4.44647E-02  3.05565E-02  8.97315E-02    5858.63622882305
        -2989  1.13158E+00  3.39873E+00  2.42979E+00 -6.38794E-01  7.41570E-02  2.28501E-02  8.85842E-02  3.77810E-03  7.11066E-02  3.65197E-02  2.68901E-02  7.59914E-02    5837.66562471110
        -2988  1.09692E+00  3.37673E+00  2.41862E+00 -7.64337E-01  9.36081E-02  2.37900E-02  7.96412E-02  4.17253E-03  7.34040E-02  3.07488E-02  3.33076E-02  7.39712E-02    5900.27616920369
        -2987  1.13313E+00  3.42703E+00  2.46508E+00 -5.58866E-01  8.41519E-02  2.45316E-02  7.60714E-02 -5.64159E-03  8.32676E-02  2.29713E-02  3.08915E-02  8.55672E-02    5768.82154041065
        -2986  1.11131E+00  3.37733E+00  2.42817E+00 -6.54069E-01  8.41519E-02  2.30022E-02  7.55442E-02 -1.99071E-03  7.16416E-02  3.42485E-02  2.45054E-02  8.47055E-02    5745.09847243313
        -2985  1.06800E+00  3.38582E+00  2.43237E+00 -7.12727E-01  8.97787E-02  2.29256E-02  7.07450E-02  5.80393E-04  8.14122E-02  2.98662E-02  3.28937E-02  8.87780E-02    5706.44085654150
        -2984  1.06618E+00  3.39225E+00  2.44531E+00 -7.68318E-01  8.81250E-02  2.18080E-02  8.89026E-02  1.25692E-02  8.64805E-02  4.08667E-02  3.70102E-02  8.89994E-02    5772.75441298446
        -2983  1.06080E+00  3.37159E+00  2.43572E+00 -7.63115E-01  9.32417E-02  2.33475E-02  1.17756E-01 -8.01768E-03  7.50810E-02  4.87182E-02  2.69131E-02  9.47021E-02    5788.11345880189
        -2982  1.08966E+00  3.39857E+00  2.44006E+00 -7.38422E-01  9.32504E-02  2.15840E-02  1.02147E-01  8.85432E-04  8.05638E-02  5.40218E-02  2.99134E-02  1.15549E-01    5729.31842824396
        -2981  1.08106E+00  3.38262E+00  2.42430E+00 -7.59523E-01  8.69618E-02  2.21732E-02  7.94356E-02  8.01570E-03  7.47004E-02  3.03878E-02  3.44583E-02  8.25397E-02    5750.12268588755
        -2980  1.13440E+00  3.38043E+00  2.47149E+00 -7.53091E-01  8.65929E-02  2.33067E-02  8.18296E-02  2.44044E-03  8.08560E-02  3.31703E-02  2.77187E-02  8.92511E-02    5800.57532867758
        -2979  1.08913E+00  3.39211E+00  2.40610E+00 -7.68935E-01  8.69757E-02  2.35856E-02  7.72004E-02 -2.79499E-03  8.17385E-02  3.16456E-02  3.07590E-02  8.54244E-02    5795.23814578459
        -2978  1.11195E+00  3.41960E+00  2.44032E+00 -7.74141E-01  8.44464E-02  2.25926E-02  7.62334E-02 -1.52954E-03  7.74851E-02  3.56899E-02  3.36548E-02  8.70128E-02    5724.82817501659
        -2977  1.10011E+00  3.41863E+00  2.43342E+00 -5.55276E-01  7.57420E-02  2.32190E-02  8.25813E-02 -2.38512E-03  7.89379E-02  3.67962E-02  4.22225E-02  9.97684E-02    5781.13895793809
        -2976  1.11327E+00  3.41184E+00  2.43912E+00 -6.84293E-01  8.05664E-02  2.40314E-02  9.86738E-02  4.76783E-03  6.75047E-02  5.06775E-02  3.08933E-02  9.46199E-02    5802.44002485996
        -2975  1.11336E+00  3.37375E+00  2.44407E+00 -6.70787E-01  8.22084E-02  2.17614E-02  8.84391E-02 -1.74853E-03  7.05318E-02  3.32702E-02  2.53417E-02  8.62363E-02    5824.22199103793
        -2974  1.10091E+00  3.34961E+00  2.42839E+00 -6.57311E-01  8.33329E-02  2.28465E-02  1.08976E-01 -3.37950E-03  6.86664E-02  3.54114E-02  2.63922E-02  8.73951E-02    5801.52743257726
        -2973  1.10578E+00  3.40095E+00  2.42961E+00 -6.85351E-01  8.56410E-02  2.33505E-02  1.05146E-01 -1.22280E-02  9.11230E-02  3.15142E-02  3.38568E-02  8.16754E-02    5821.60487752111
        -2972  1.12055E+00  3.33441E+00  2.44322E+00 -6.77324E-01  8.04316E-02  2.31714E-02  1.14657E-01  7.92820E-04  8.47035E-02  5.18650E-02  4.16916E-02  1.12328E-01    5845.12588470849
        -2971  1.10679E+00  3.38069E+00  2.41554E+00 -7.08066E-01  7.57127E-02  2.29449E-02  9.66801E-02 -3.03665E-04  7.79605E-02  4.62905E-02  3.61834E-02  9.79910E-02    5816.51719446324
        -2970  1.12927E+00  3.38947E+00  2.44353E+00 -6.92143E-01  7.56147E-02  2.39202E-02  9.02680E-02 -3.36899E-03  8.18537E-02  4.02996E-02  3.63194E-02  9.89721E-02    5817.78599785032
        -2969  1.15095E+00  3.39406E+00  2.44375E+00 -6.90791E-01  7.75875E-02  2.29958E-02  1.04818E-01  1.99565E-03  6.53463E-02  3.94030E-02  2.71249E-02  9.02793E-02    5829.61723756907
        -2968  1.14618E+00  3.37594E+00  2.45804E+00 -6.90791E-01  7.75875E-02  2.28270E-02  1.05342E-01  3.25703E-03  6.79492E-02  4.45123E-02  3.05494E-02  8.85497E-02    5741.81587646181
        -2967  1.15213E+00  3.39900E+00  2.47362E+00 -7.31912E-01  7.62963E-02  2.33143E-02  8.85570E-02 -9.13649E-04  7.27226E-02  3.92787E-02  3.68992E-02  9.84503E-02    5846.24601405703
        -2966  1.13596E+00  3.40399E+00  2.43095E+00 -6.73809E-01  8.15517E-02  2.22640E-02  8.78843E-02 -2.89350E-03  8.07451E-02  3.72578E-02  2.49907E-02  8.29803E-02    5727.56059287071
        -2965  1.11825E+00  3.38336E+00  2.41873E+00 -6.64279E-01  7.99842E-02  2.12283E-02  8.78507E-02  2.53770E-03  8.69887E-02  3.10353E-02  3.16029E-02  8.71779E-02    5729.48524844777
        -2964  1.12874E+00  3.40787E+00  2.46374E+00 -6.54421E-01  8.24591E-02  2.23607E-02  9.09700E-02  2.55996E-03  8.49108E-02  3.31991E-02  3.30008E-02  8.73892E-02    5840.22987011337
        -2963  1.11906E+00  3.38817E+00  2.43111E+00 -6.08367E-01  8.47182E-02  2.32163E-02  9.21812E-02 -1.19441E-03  9.79216E-02  3.54493E-02  4.29664E-02  1.00185E-01    5806.01252994149
        -2962  1.09709E+00  3.36943E+00  2.41204E+00 -6.07573E-01  7.70863E-02  2.36074E-02  9.03003E-02 -4.24173E-03  7.35038E-02  3.95933E-02  2.86027E-02  9.57634E-02    5869.52982527753
        -2961  1.11662E+00  3.41026E+00  2.42718E+00 -6.30739E-01  7.19460E-02  2.32956E-02  8.47537E-02  6.81743E-04  7.50734E-02  2.99582E-02  2.91572E-02  8.14621E-02    5857.54978519797
        -2960  1.11732E+00  3.39766E+00  2.44499E+00 -6.55502E-01  8.46103E-02  2.39928E-02  8.18482E-02  1.19335E-02  6.75705E-02  4.40060E-02  3.13066E-02  8.76002E-02    5717.90656984158
        -2959  1.10868E+00  3.39507E+00  2.41421E+00 -7.56960E-01  8.99658E-02  2.25093E-02  1.07745E-01  1.05975E-02  7.44188E-02  4.79942E-02  2.30746E-02  9.09627E-02    5772.96785551114
        -2958  1.11702E+00  3.39299E+00  2.45548E+00 -7.48737E-01  8.99658E-02  2.24622E-02  8.54498E-02  1.09742E-02  7.69812E-02  3.69300E-02  2.67895E-02  8.56000E-02    5782.31869265373
        -2957  1.11434E+00  3.37557E+00  2.41710E+00 -7.13874E-01  8.46596E-02  2.24151E-02  1.16628E-01  1.35622E-02  7.16547E-02  5.96108E-02  3.66610E-02  9.90497E-02    5785.51753492032
        -2956  1.14833E+00  3.39625E+00  2.46104E+00 -6.69215E-01  7.88897E-02  2.27872E-02  9.14064E-02  1.39289E-02  7.89794E-02  4.58235E-02  3.16796E-02  8.64533E-02    5712.59365870060
        -2955  1.12641E+00  3.35819E+00  2.41637E+00 -5.05958E-01  7.47032E-02  2.19406E-02  8.10225E-02  9.57214E-03  8.83755E-02  3.54232E-02  3.58397E-02  8.59216E-02    5809.46728208771
        -2954  1.13944E+00  3.36587E+00  2.41407E+00 -5.05958E-01  7.47032E-02  2.21137E-02  9.10050E-02  6.48563E-03  7.09230E-02  4.38791E-02  2.77995E-02  7.87621E-02    5780.84500025512
        -2953  1.13384E+00  3.38930E+00  2.40917E+00 -4.53892E-01  7.36458E-02  2.20259E-02  8.33748E-02  2.63931E-03  7.52114E-02  3.18734E-02  3.59363E-02  8.26149E-02    5862.45943596360
        -2952  1.14433E+00  3.40563E+00  2.44033E+00 -4.71257E-01  7.09544E-02  2.40418E-02  8.22831E-02  2.78247E-03  7.80612E-02  3.08678E-02  3.16369E-02  7.98465E-02    5868.26543737825
        -2951  1.13126E+00  3.38241E+00  2.42253E+00 -7.60046E-01  8.32048E-02  2.30362E-02  1.00606E-01 -2.06755E-03  6.73489E-02  4.55267E-02  2.86261E-02  9.13636E-02    5803.78324944572
        -2950  1.12040E+00  3.40633E+00  2.44144E+00 -6.97338E-01  7.84958E-02  2.25253E-02  1.05990E-01 -6.68570E-03  7.76878E-02  4.03277E-02  2.99125E-02  9.46263E-02    5785.38073330504
