TABLE NO.     5: MCMC Bayesian Analysis: Goal Function=AVERAGE VALUE OF LIKELIHOOD FUNCTION: Problem=1 Subproblem=0 Superproblem1=0 Iteration1=0 Superproblem2=0 Iteration2=0
 ITERATION    THETA1       THETA2       THETA3       THETA4       THETA5       THETA6       THETA7       THETA8       THETA9       THETA10      THETA11      SIGMA(1,1)   OMEGA(1,1)   OMEGA(2,1)   OMEGA(2,2)   OMEGA(3,1)   OMEGA(3,2)   OMEGA(3,3)   OMEGA(4,1)   OMEGA(4,2)   OMEGA(4,3)   OMEGA(4,4)   MCMCOBJ
       -10000  3.29926E+00  3.25389E+00 -6.11931E-01 -2.08450E-01  7.32244E-01  1.14087E+00  3.35824E-01  1.91374E-01  6.91358E-01  2.29925E+00  1.00236E-01  1.00000E+00  1.04415E-02  2.20039E-04  7.66910E-03  1.45871E-03 -2.15967E-04  9.65049E-03 -4.10335E-04  5.30636E-04  1.90156E-03  9.80928E-03   -19197.7358618528
        -9999  3.28652E+00  3.23389E+00 -6.08560E-01 -2.05753E-01  7.34033E-01  1.14948E+00  3.35227E-01  1.84732E-01  6.83423E-01  2.29625E+00  9.78622E-02  1.00000E+00  1.00975E-02  4.60557E-04  7.45883E-03  1.44700E-03  4.76502E-04  9.66671E-03 -1.07254E-04  3.98209E-04  2.16578E-03  9.35117E-03   -19322.3355770977
        -9998  3.25565E+00  3.28965E+00 -6.00270E-01 -2.17438E-01  7.14164E-01  1.14000E+00  3.43270E-01  1.92608E-01  6.88299E-01  2.30583E+00  9.78622E-02  1.00000E+00  1.07361E-02 -3.54841E-04  7.55991E-03  1.95947E-03 -1.68675E-04  8.31362E-03 -6.50163E-04  6.72288E-04  9.83977E-04  8.91942E-03   -19260.9129562777
        -9997  3.26099E+00  3.28622E+00 -6.00055E-01 -2.16643E-01  7.29020E-01  1.13372E+00  3.40380E-01  1.90432E-01  6.87763E-01  2.29439E+00  9.78622E-02  1.00000E+00  9.70985E-03 -2.67954E-04  8.23601E-03  1.51719E-03  1.55762E-04  9.39788E-03  3.85856E-04  1.69212E-03  9.31469E-04  1.01212E-02   -19250.1635700387
        -9996  3.33748E+00  3.25163E+00 -6.22692E-01 -2.07346E-01  7.53139E-01  1.13977E+00  3.29603E-01  1.93315E-01  6.88139E-01  2.29741E+00  9.99072E-02  1.00000E+00  9.11406E-03 -3.86880E-04  7.75365E-03  1.76430E-03 -4.22112E-04  8.58145E-03  2.24535E-04  7.50204E-04  1.07523E-03  9.69464E-03   -19248.1695043946
        -9995  3.31790E+00  3.27461E+00 -6.17701E-01 -2.12134E-01  7.74234E-01  1.15975E+00  3.21964E-01  1.85834E-01  6.92444E-01  2.30750E+00  9.99072E-02  1.00000E+00  8.29100E-03 -1.87624E-03  7.45286E-03  1.65168E-03 -9.08949E-04  9.34937E-03  3.03215E-04  1.50119E-04  1.43557E-03  8.56848E-03   -19233.5037077008
        -9994  3.32075E+00  3.24958E+00 -6.19023E-01 -2.05326E-01  7.39334E-01  1.14350E+00  3.32944E-01  1.89676E-01  6.91014E-01  2.29575E+00  9.99072E-02  1.00000E+00  1.04990E-02 -2.00958E-03  7.08481E-03  1.17913E-03 -5.01008E-04  8.66757E-03 -2.84416E-04  9.28716E-04  1.01175E-03  9.39281E-03   -19230.1883139183
        -9993  3.30659E+00  3.22943E+00 -6.13605E-01 -2.02156E-01  8.05450E-01  1.14286E+00  3.09902E-01  1.90635E-01  6.95353E-01  2.30537E+00  9.88240E-02  1.00000E+00  1.07715E-02 -2.08288E-03  7.08072E-03  1.23587E-03 -9.99329E-04  8.83436E-03 -9.18117E-05  7.90357E-04  1.59047E-03  1.03509E-02   -19215.8884822742
        -9992  3.27631E+00  3.30556E+00 -6.06793E-01 -2.26267E-01  7.53284E-01  1.12353E+00  3.26350E-01  1.92765E-01  6.87859E-01  2.29264E+00  9.88240E-02  1.00000E+00  9.29319E-03 -9.33928E-04  6.44727E-03 -1.02090E-04 -5.00508E-04  8.07711E-03 -1.27151E-03  3.05357E-04  2.42835E-03  1.09229E-02   -19212.0251096915
        -9991  3.35229E+00  3.23525E+00 -6.29148E-01 -2.04307E-01  7.31240E-01  1.14820E+00  3.35180E-01  1.84377E-01  6.80045E-01  2.29343E+00  1.01402E-01  1.00000E+00  8.33140E-03 -1.55998E-03  7.46045E-03 -1.98716E-04 -9.96744E-04  8.04405E-03 -1.30769E-03 -5.87529E-04  1.49135E-03  1.04012E-02   -19142.2325819338
