TABLE NO.  1
 TVAL        DV          DV2         IPRED       IPRED2
  1.0000E+00  3.0131E+01  2.6212E+01  3.0060E+01  3.4893E+01
  2.0000E+00  3.9735E+01  4.2378E+01  3.0060E+01  3.4893E+01
  3.0000E+00  3.4708E+01  5.0091E+01  3.0060E+01  3.4893E+01
  4.0000E+00  3.0442E+01  3.7051E+01  3.0060E+01  3.4893E+01
  5.0000E+00  2.3798E+01  3.6279E+01  3.0060E+01  3.4893E+01
  6.0000E+00  3.1063E+01  2.4576E+01  3.0060E+01  3.4893E+01
  7.0000E+00  2.8958E+01  3.2314E+01  3.0060E+01  3.4893E+01
  8.0000E+00  3.7527E+01  4.3159E+01  3.0060E+01  3.4893E+01
  9.0000E+00  2.1802E+01  3.4311E+01  3.0060E+01  3.4893E+01
  1.0000E+01  2.8236E+01  1.3974E+01  3.0060E+01  3.4893E+01
  1.1000E+01  3.1966E+01  4.1714E+01  3.0060E+01  3.4893E+01
  1.2000E+01  3.0079E+01  2.5856E+01  3.0060E+01  3.4893E+01
  1.3000E+01  2.8582E+01  3.7942E+01  3.0060E+01  3.4893E+01
  1.4000E+01  2.7378E+01  3.6591E+01  3.0060E+01  3.4893E+01
  1.5000E+01 -4.0372E+00 -3.3398E+00  3.0060E+01  3.4893E+01
  1.6000E+01  2.8031E+01  3.3147E+01  3.0060E+01  3.4893E+01
  1.7000E+01  2.7713E+01  2.6443E+01  3.0060E+01  3.4893E+01
  1.8000E+01  3.9950E+01  3.8842E+01  3.0060E+01  3.4893E+01
  1.9000E+01  4.6988E+01  4.3346E+01  3.0060E+01  3.4893E+01
  2.0000E+01  6.6386E+01  4.7459E+01  3.0060E+01  3.4893E+01
  2.1000E+01  2.8433E+01  3.1701E+01  3.0060E+01  3.4893E+01
  1.0000E+01  1.9522E+01  2.2072E+01  3.0060E+01  3.4893E+01
  1.1000E+01  3.7446E+01  5.2310E+01  3.0060E+01  3.4893E+01
  1.2000E+01  2.2358E+01  2.9503E+01  3.0060E+01  3.4893E+01
  1.3000E+01  1.2688E+01  2.2119E+01  3.0060E+01  3.4893E+01
  1.4000E+01  3.1878E+01  2.8717E+01  3.0060E+01  3.4893E+01
  1.5000E+01  2.8219E+01  4.0573E+01  3.0060E+01  3.4893E+01
  1.6000E+01  2.1665E+01  1.8490E+01  3.0060E+01  3.4893E+01
  1.7000E+01  3.3715E+01  4.2887E+01  3.0060E+01  3.4893E+01
  1.8000E+01  2.5260E+01  2.8119E+01  3.0060E+01  3.4893E+01
  1.9000E+01  2.1270E+01  3.4889E+01  3.0060E+01  3.4893E+01
  2.0000E+01  2.7202E+01  4.9012E+01  3.0060E+01  3.4893E+01
  2.1000E+01  4.2711E+01  3.6370E+01  3.0060E+01  3.4893E+01
  1.0000E+01  3.3610E+01  6.5284E+01  3.0060E+01  3.4893E+01
  1.1000E+01  4.0887E+01  5.0399E+01  3.0060E+01  3.4893E+01
  1.2000E+01  1.4617E+01  1.4794E+01  3.0060E+01  3.4893E+01
  1.3000E+01  4.2367E+01  4.2080E+01  3.0060E+01  3.4893E+01
  1.4000E+01  5.0465E+01  6.7489E+01  3.0060E+01  3.4893E+01
  1.5000E+01  4.3865E+01  3.6303E+01  3.0060E+01  3.4893E+01
  1.6000E+01  3.1372E+01  3.1699E+01  3.0060E+01  3.4893E+01
  1.7000E+01  3.9397E+01  4.7348E+01  3.0060E+01  3.4893E+01
  1.8000E+01  3.5025E+01  5.5137E+01  3.0060E+01  3.4893E+01
  1.9000E+01  3.1284E+01  1.0497E+01  3.0060E+01  3.4893E+01
