TABLE NO.  1
 TVAL        DV          IPRED
  1.0000E+00  5.2228E+01  3.0024E+01
  2.0000E+00  4.6328E+01  3.0024E+01
  3.0000E+00  2.9393E+01  3.0024E+01
  4.0000E+00  2.5582E+01  3.0024E+01
  5.0000E+00  3.5704E+01  3.0024E+01
  6.0000E+00  4.7338E+01  3.0024E+01
  7.0000E+00  2.7953E+01  3.0024E+01
  8.0000E+00  2.6180E+01  3.0024E+01
  9.0000E+00  3.0263E+01  3.0024E+01
  1.0000E+01  2.9469E+01  3.0024E+01
  1.1000E+01  2.0382E+01  3.0024E+01
  1.2000E+01  2.8723E+01  3.0024E+01
  1.3000E+01  2.5310E+01  3.0024E+01
  1.4000E+01  2.7710E+01  3.0024E+01
  1.5000E+01  3.3189E+01  3.0024E+01
  1.6000E+01  1.6086E+00  3.0024E+01
  1.7000E+01  2.0471E+01  3.0024E+01
  1.8000E+01  4.3279E+01  3.0024E+01
  1.9000E+01  3.5838E+01  3.0024E+01
  2.0000E+01  1.3263E+01  3.0024E+01
  2.1000E+01  2.6526E+01  3.0024E+01
  1.0000E+01  3.2893E+01  3.0024E+01
  1.1000E+01  3.1642E+01  3.0024E+01
  1.2000E+01  2.7412E+01  3.0024E+01
  1.3000E+01  3.3961E+01  3.0024E+01
  1.4000E+01  2.8060E+01  3.0024E+01
  1.5000E+01  1.6768E+01  3.0024E+01
  1.6000E+01  1.8839E+01  3.0024E+01
  1.7000E+01  1.5132E+01  3.0024E+01
  1.8000E+01  2.8059E+01  3.0024E+01
  1.9000E+01  4.7195E+01  3.0024E+01
  2.0000E+01  8.2144E+01  3.0024E+01
  2.1000E+01  3.8559E+01  3.0024E+01
  1.0000E+01  6.5668E+01  3.0024E+01
  1.1000E+01 -5.7433E+01  3.0024E+01
  1.2000E+01  4.7674E+01  3.0024E+01
  1.3000E+01  3.0301E+01  3.0024E+01
  1.4000E+01  4.6677E+00  3.0024E+01
  1.5000E+01  3.1183E+01  3.0024E+01
  1.6000E+01  3.5859E+01  3.0024E+01
  1.7000E+01 -2.3364E+00  3.0024E+01
  1.8000E+01  3.8568E+01  3.0024E+01
  1.9000E+01  3.3483E+01  3.0024E+01
  2.0000E+01  3.5826E+01  3.0024E+01
  2.1000E+01  3.9321E+01  3.0024E+01
  1.0000E+01  3.1796E+01  3.0024E+01
  1.1000E+01  2.0928E+01  3.0024E+01
  1.2000E+01  3.3402E+01  3.0024E+01
  1.3000E+01  3.2848E+01  3.0024E+01
  1.4000E+01  4.4503E+01  3.0024E+01
  1.5000E+01  2.6770E+01  3.0024E+01
  1.6000E+01  1.1799E+02  3.0024E+01
  1.7000E+01  2.3213E+01  3.0024E+01
  1.8000E+01  1.0502E+01  3.0024E+01
  1.9000E+01  2.9879E+01  3.0024E+01
  2.0000E+01  3.3183E+01  3.0024E+01
  2.1000E+01  2.5028E+01  3.0024E+01
  1.0000E+01  3.4450E+01  3.0024E+01
  1.1000E+01  2.3399E+01  3.0024E+01
  1.2000E+01  4.5287E+01  3.0024E+01
  1.3000E+01  2.6605E+01  3.0024E+01
  1.4000E+01  3.5835E+01  3.0024E+01
  1.5000E+01  3.0664E+01  3.0024E+01
  1.6000E+01  2.8522E+01  3.0024E+01
  1.7000E+01  1.8343E+01  3.0024E+01
  1.8000E+01  3.1198E+01  3.0024E+01
  1.9000E+01  5.0099E+00  3.0024E+01
  2.0000E+01  3.4727E+01  3.0024E+01
  2.1000E+01  4.7050E+01  3.0024E+01
  1.0000E+01  4.7510E+01  3.0024E+01
  1.1000E+01  4.6967E+01  3.0024E+01
  1.2000E+01  3.0797E+01  3.0024E+01
  1.3000E+01  2.2416E+01  3.0024E+01
  1.4000E+01  3.0618E+01  3.0024E+01
  1.5000E+01  2.9003E+01  3.0024E+01
  1.6000E+01  1.9571E+01  3.0024E+01
  1.7000E+01  2.9902E+01  3.0024E+01
  1.8000E+01  4.7809E+01  3.0024E+01
  1.9000E+01  2.9176E+01  3.0024E+01
  2.0000E+01  1.9578E+01  3.0024E+01
  2.1000E+01  1.2270E+01  3.0024E+01
  1.0000E+00  1.8162E+01  3.0024E+01
  2.0000E+00  1.8562E+01  3.0024E+01
  3.0000E+00  3.4436E+01  3.0024E+01
  4.0000E+00  2.2826E+01  3.0024E+01
  5.0000E+00  2.7270E+01  3.0024E+01
  6.0000E+00  2.5414E+01  3.0024E+01
  7.0000E+00  1.4356E+01  3.0024E+01
  8.0000E+00  5.1790E+01  3.0024E+01
  9.0000E+00  5.4696E+01  3.0024E+01
  1.0000E+01  2.6637E+01  3.0024E+01
  1.1000E+01  3.2888E+01  3.0024E+01
  1.2000E+01  4.8971E+01  3.0024E+01
  1.3000E+01  4.8128E+01  3.0024E+01
  1.4000E+01  2.1870E+01  3.0024E+01
  1.5000E+01  1.1321E+01  3.0024E+01
  1.6000E+01  4.1615E+01  3.0024E+01
  1.7000E+01  3.9571E+01  3.0024E+01
  1.8000E+01  3.9034E+01  3.0024E+01
  1.9000E+01  2.7075E+01  3.0024E+01
  2.0000E+01 -1.0115E+01  3.0024E+01
  2.1000E+01  2.2841E+01  3.0024E+01
  1.0000E+01  2.5322E+01  3.0024E+01
  1.1000E+01  2.4169E+01  3.0024E+01
  1.2000E+01  3.1000E+01  3.0024E+01
  1.3000E+01  2.7847E+01  3.0024E+01
  1.4000E+01  3.3447E+01  3.0024E+01
  1.5000E+01  1.0027E+01  3.0024E+01
  1.6000E+01  3.9299E+01  3.0024E+01
  1.7000E+01  1.9223E+01  3.0024E+01
  1.8000E+01  3.1970E+01  3.0024E+01
  1.9000E+01  2.5092E+01  3.0024E+01
  2.0000E+01  1.2973E+01  3.0024E+01
  2.1000E+01  3.6406E+01  3.0024E+01
  1.0000E+01  2.9191E+01  3.0024E+01
  1.1000E+01  2.3919E+01  3.0024E+01
  1.2000E+01  1.0411E+01  3.0024E+01
  1.3000E+01  3.7263E+01  3.0024E+01
  1.4000E+01  4.6398E+01  3.0024E+01
  1.5000E+01  3.6492E+01  3.0024E+01
  1.6000E+01  3.7381E+01  3.0024E+01
  1.7000E+01  2.5332E+01  3.0024E+01
  1.8000E+01  4.2829E+01  3.0024E+01
  1.9000E+01  1.5686E+01  3.0024E+01
  2.0000E+01  2.9559E+01  3.0024E+01
  2.1000E+01  2.6835E+01  3.0024E+01
  1.0000E+01  5.1356E+00  3.0024E+01
  1.1000E+01  2.3285E+01  3.0024E+01
  1.2000E+01  4.3198E+01  3.0024E+01
  1.3000E+01  2.3348E+01  3.0024E+01
  1.4000E+01  2.2810E+01  3.0024E+01
  1.5000E+01  5.1434E+01  3.0024E+01
  1.6000E+01  3.0901E+01  3.0024E+01
  1.7000E+01  3.3303E+01  3.0024E+01
  1.8000E+01  1.8427E+01  3.0024E+01
  1.9000E+01  1.1180E+01  3.0024E+01
