TABLE NO.  1
 TIME        Y1          Y2          Y3          Y4
  0.0000E+00  2.8300E+00  2.8300E+00  0.0000E+00  0.0000E+00
  1.0000E+00  3.4332E+00  3.4332E+00  1.1813E-03  1.1813E-03
  2.0000E+00  4.5526E+00  4.3358E+00  3.0928E-03  3.0928E-03
  3.0000E+00  5.6993E+00  5.1392E+00  6.2093E-03  6.2093E-03
  4.0000E+00  6.6510E+00  5.8058E+00  1.1314E-02  1.1314E-02
  5.0000E+00  7.4097E+00  6.3658E+00  1.9697E-02  1.9697E-02
  6.0000E+00  8.0384E+00  6.8537E+00  3.3486E-02  3.3486E-02
  7.0000E+00  8.5868E+00  7.2922E+00  5.6190E-02  5.6190E-02
  8.0000E+00  9.0835E+00  7.6952E+00  9.3593E-02  9.3593E-02
  9.0000E+00  9.5439E+00  8.0486E+00  1.5523E-01  1.5523E-01
  1.0000E+01  9.9768E+00  8.3943E+00  2.5682E-01  2.5682E-01
  1.1000E+01  1.0386E+01  8.7322E+00  4.8836E-01  4.8836E-01
  1.2000E+01  1.0765E+01  9.0496E+00  1.3353E+00  1.2865E+00
  1.3000E+01  1.1101E+01  9.3355E+00  2.4542E+00  2.1064E+00
  1.4000E+01  1.1394E+01  9.5923E+00  3.4412E+00  2.7780E+00
  1.5000E+01  1.1653E+01  9.8245E+00  4.1906E+00  3.3029E+00
  1.6000E+01  1.1886E+01  1.0013E+01  4.7515E+00  3.7221E+00
  1.7000E+01  1.2099E+01  1.0195E+01  5.1901E+00  4.0682E+00
  1.8000E+01  1.2295E+01  1.0370E+01  5.5503E+00  4.3621E+00
  1.9000E+01  1.2478E+01  1.0540E+01  5.8569E+00  4.6081E+00
  2.0000E+01  1.2649E+01  1.0704E+01  6.1244E+00  4.8146E+00
  2.1000E+01  1.2811E+01  1.0862E+01  6.3617E+00  5.0131E+00
  2.2000E+01  1.2963E+01  1.1012E+01  6.5752E+00  5.2016E+00
  2.3000E+01  1.3107E+01  1.1154E+01  6.7692E+00  5.3795E+00
  2.4000E+01  1.3244E+01  1.1288E+01  6.9470E+00  5.5466E+00
  2.5000E+01  1.3375E+01  1.1414E+01  7.1112E+00  5.7027E+00
