TABLE NO.  1
 TVAL        DV          IPRED
  1.0000E+00  3.0186E+01  2.9928E+01
  2.0000E+00  4.0996E+01  2.9928E+01
  3.0000E+00  4.1683E+01  2.9928E+01
  4.0000E+00  3.3714E+01  2.9928E+01
  5.0000E+00  3.7090E+01  2.9928E+01
  6.0000E+00  3.6342E+01  2.9928E+01
  7.0000E+00  3.0427E+01  2.9928E+01
  8.0000E+00  1.9217E+01  2.9928E+01
  9.0000E+00  2.1284E+01  2.9928E+01
  1.0000E+01  3.2804E+01  2.9928E+01
  1.1000E+01  3.2106E+01  2.9928E+01
  1.2000E+01  3.1786E+01  2.9928E+01
  1.3000E+01  2.8980E+01  2.9928E+01
  1.4000E+01  3.9023E+01  2.9928E+01
  1.5000E+01  3.8382E+01  2.9928E+01
  1.6000E+01  2.8426E+01  2.9928E+01
  1.7000E+01  1.9639E+01  2.9928E+01
  1.8000E+01  1.2965E+01  2.9928E+01
  1.9000E+01  2.1437E+01  2.9928E+01
  2.0000E+01  3.8078E+01  2.9928E+01
  2.1000E+01  3.2185E+01  2.9928E+01
  1.0000E+01  3.4437E+01  2.9928E+01
  1.1000E+01  3.0117E+01  2.9928E+01
  1.2000E+01  2.9765E+01  2.9928E+01
  1.3000E+01  2.8445E+01  2.9928E+01
  1.4000E+01  2.8610E+01  2.9928E+01
  1.5000E+01  2.7213E+01  2.9928E+01
  1.6000E+01  2.0101E+01  2.9928E+01
  1.7000E+01 -5.8663E+01  2.9928E+01
  1.8000E+01  2.2139E+02  2.9928E+01
  1.9000E+01  2.8017E+01  2.9928E+01
  2.0000E+01  2.9423E+01  2.9928E+01
  2.1000E+01  2.7276E+01  2.9928E+01
  1.0000E+01  2.2740E+01  2.9928E+01
  1.1000E+01  3.9207E+01  2.9928E+01
  1.2000E+01 -3.9548E+01  2.9928E+01
  1.3000E+01  6.2211E+01  2.9928E+01
  1.4000E+01  3.8357E+01  2.9928E+01
  1.5000E+01  1.6708E+02  2.9928E+01
  1.6000E+01  9.3447E+01  2.9928E+01
  1.7000E+01  2.8413E+01  2.9928E+01
  1.8000E+01  3.3553E+01  2.9928E+01
  1.9000E+01  2.0359E+01  2.9928E+01
  2.0000E+01  1.5594E+02  2.9928E+01
  2.1000E+01  4.2330E+01  2.9928E+01
  1.0000E+01  2.6041E+01  2.9928E+01
  1.1000E+01  2.2167E+01  2.9928E+01
  1.2000E+01  5.1672E+01  2.9928E+01
  1.3000E+01  2.2070E+00  2.9928E+01
  1.4000E+01  3.7926E+01  2.9928E+01
  1.5000E+01  3.2128E+01  2.9928E+01
  1.6000E+01 -1.1108E+01  2.9928E+01
  1.7000E+01  2.7801E+01  2.9928E+01
  1.8000E+01  4.2272E+01  2.9928E+01
  1.9000E+01  1.9048E+01  2.9928E+01
  2.0000E+01  1.4569E+01  2.9928E+01
  2.1000E+01  3.4070E+01  2.9928E+01
  1.0000E+01  2.7348E+01  2.9928E+01
  1.1000E+01  2.5038E+01  2.9928E+01
  1.2000E+01  2.3654E+01  2.9928E+01
  1.3000E+01  1.5762E+01  2.9928E+01
