TABLE NO.  1
 TIME        A1          A2          A3          A4
  0.0000E+00  1.0000E+02  0.0000E+00  0.0000E+00  0.0000E+00
  4.0000E+00  2.4713E+01  1.2526E+01  1.0881E+01  1.2666E+00
  8.0000E+00  6.4321E+00  4.5466E+00  6.0244E+00  4.6681E-01
  1.2000E+01  1.0012E+02  4.8683E-01  1.0575E+00  8.1373E+00
  1.6000E+01  2.9213E+01  1.4449E+01  1.1948E+01  1.4596E+00
  2.0000E+01  7.4454E+00  5.2546E+00  6.9510E+00  5.3951E-01
  2.4000E+01  1.0014E+02  5.6265E-01  1.2220E+00  9.4045E+00
  2.8000E+01  2.9914E+01  1.4749E+01  1.2114E+01  1.4897E+00
  3.2000E+01  7.6033E+00  5.3649E+00  7.0953E+00  5.5083E-01
  3.6000E+01  1.0014E+02  5.7446E-01  1.2476E+00  9.6019E+00
  4.0000E+01  3.0023E+01  1.4796E+01  1.2140E+01  1.4943E+00
  4.4000E+01  7.6278E+00  5.3821E+00  7.1177E+00  5.5259E-01
  4.8000E+01  1.0014E+02  5.7630E-01  1.2516E+00  9.6326E+00
  5.2000E+01  3.0040E+01  1.4803E+01  1.2144E+01  1.4951E+00
  5.6000E+01  7.6317E+00  5.3848E+00  7.1212E+00  5.5286E-01
  6.0000E+01  1.0014E+02  5.7658E-01  1.2522E+00  9.6374E+00
  6.4000E+01  3.0043E+01  1.4804E+01  1.2145E+01  1.4952E+00
  6.8000E+01  7.6323E+00  5.3852E+00  7.1218E+00  5.5291E-01
  7.2000E+01  1.0014E+02  5.7663E-01  1.2523E+00  9.6381E+00
  7.6000E+01  3.0043E+01  1.4804E+01  1.2145E+01  1.4952E+00
  8.0000E+01  7.6324E+00  5.3852E+00  7.1219E+00  5.5291E-01
  8.4000E+01  1.0014E+02  5.7663E-01  1.2523E+00  9.6383E+00
  8.8000E+01  3.0043E+01  1.4804E+01  1.2145E+01  1.4952E+00
  9.2000E+01  7.6324E+00  5.3853E+00  7.1219E+00  5.5292E-01
  9.6000E+01  1.0014E+02  5.7664E-01  1.2523E+00  9.6383E+00
  1.0000E+02  3.0043E+01  1.4804E+01  1.2145E+01  1.4952E+00
  1.0400E+02  7.6324E+00  5.3853E+00  7.1219E+00  5.5292E-01
  1.0800E+02  1.0014E+02  5.7664E-01  1.2523E+00  9.6383E+00
  1.1200E+02  3.0043E+01  1.4804E+01  1.2145E+01  1.4952E+00
  1.1600E+02  7.6324E+00  5.3853E+00  7.1219E+00  5.5292E-01
  1.2000E+02  1.0014E+02  5.7664E-01  1.2523E+00  9.6383E+00
  1.2400E+02  3.0043E+01  1.4804E+01  1.2145E+01  1.4952E+00
  1.2800E+02  7.6324E+00  5.3853E+00  7.1219E+00  5.5292E-01
  1.3200E+02  1.0014E+02  5.7664E-01  1.2523E+00  9.6383E+00
  1.3600E+02  3.0043E+01  1.4804E+01  1.2145E+01  1.4952E+00
  1.4000E+02  7.6324E+00  5.3853E+00  7.1219E+00  5.5292E-01
  1.4400E+02  1.0014E+02  5.7664E-01  1.2523E+00  9.6383E+00
