TABLE NO.  1
 TIME        A1          A2          A3          A4
  0.0000E+00  1.0014E+02  5.7691E-01  1.2526E+00  9.6065E+00
  4.0000E+00  2.9953E+01  1.4788E+01  1.2167E+01  1.4939E+00
  8.0000E+00  7.5557E+00  5.3758E+00  7.1120E+00  6.1808E-01
  1.2000E+01  1.0014E+02  5.7691E-01  1.2526E+00  9.6065E+00
  1.6000E+01  2.9953E+01  1.4788E+01  1.2167E+01  1.4939E+00
  2.0000E+01  7.5557E+00  5.3758E+00  7.1120E+00  6.1808E-01
  2.4000E+01  1.0014E+02  5.7691E-01  1.2526E+00  9.6065E+00
  2.8000E+01  2.9953E+01  1.4788E+01  1.2167E+01  1.4939E+00
  3.2000E+01  7.5557E+00  5.3758E+00  7.1120E+00  6.1808E-01
  3.6000E+01  1.0014E+02  5.7691E-01  1.2526E+00  9.6065E+00
  4.0000E+01  2.9953E+01  1.4788E+01  1.2167E+01  1.4939E+00
  4.4000E+01  7.5557E+00  5.3758E+00  7.1120E+00  6.1808E-01
  4.8000E+01  1.0014E+02  5.7691E-01  1.2526E+00  9.6065E+00
  5.2000E+01  2.9953E+01  1.4788E+01  1.2167E+01  1.4939E+00
  5.6000E+01  7.5557E+00  5.3758E+00  7.1120E+00  6.1808E-01
  6.0000E+01  1.0014E+02  5.7691E-01  1.2526E+00  9.6065E+00
  6.4000E+01  2.9953E+01  1.4788E+01  1.2167E+01  1.4939E+00
  6.8000E+01  7.5557E+00  5.3758E+00  7.1120E+00  6.1808E-01
  7.2000E+01  1.0014E+02  5.7691E-01  1.2526E+00  9.6065E+00
  7.6000E+01  2.9953E+01  1.4788E+01  1.2167E+01  1.4939E+00
  8.0000E+01  7.5557E+00  5.3758E+00  7.1120E+00  6.1808E-01
  8.4000E+01  1.0014E+02  5.7691E-01  1.2526E+00  9.6065E+00
  8.8000E+01  2.9953E+01  1.4788E+01  1.2167E+01  1.4939E+00
  9.2000E+01  7.5557E+00  5.3758E+00  7.1120E+00  6.1808E-01
  9.6000E+01  1.0014E+02  5.7691E-01  1.2526E+00  9.6065E+00
  1.0000E+02  2.9953E+01  1.4788E+01  1.2167E+01  1.4939E+00
  1.0400E+02  7.5557E+00  5.3758E+00  7.1120E+00  6.1808E-01
  1.0800E+02  1.0014E+02  5.7691E-01  1.2526E+00  9.6065E+00
  1.1200E+02  2.9953E+01  1.4788E+01  1.2167E+01  1.4939E+00
  1.1600E+02  7.5557E+00  5.3758E+00  7.1120E+00  6.1808E-01
  1.2000E+02  1.0014E+02  5.7691E-01  1.2526E+00  9.6065E+00
  1.2400E+02  2.9953E+01  1.4788E+01  1.2167E+01  1.4939E+00
  1.2800E+02  7.5557E+00  5.3758E+00  7.1120E+00  6.1808E-01
  1.3200E+02  1.0014E+02  5.7691E-01  1.2526E+00  9.6065E+00
  1.3600E+02  2.9953E+01  1.4788E+01  1.2167E+01  1.4939E+00
  1.4000E+02  7.5557E+00  5.3758E+00  7.1120E+00  6.1808E-01
  1.4400E+02  1.0014E+02  5.7691E-01  1.2526E+00  9.6065E+00
